10,2,0,0,2,5
10,1,0,0,1,5
10,2,0,0,2,5
10,1,0,0,1,5
10,1,0,0,1,5
10,1,0,0,1,5
10,1,0,0,1,5
10,1,0,0,1,5
10,1,0,0,1,5
10,1,0,0,1,5
100,16,4,4,24,11
100,15,4,4,23,11
100,24,6,6,36,11
100,29,6,5,40,11
100,15,4,4,23,11
100,23,6,7,36,11
100,24,10,6,40,11
100,19,4,4,27,11
100,20,4,4,28,11
100,15,4,4,23,11
1000,327,63,52,442,17
1000,201,38,38,277,17
1000,312,70,66,448,17
1000,202,39,40,281,17
1000,310,59,60,429,17
1000,209,46,38,293,17
1000,203,38,39,280,17
1000,203,38,38,279,17
1000,340,65,66,471,17
1000,201,39,39,279,17
10000,2969,383,402,3754,24
10000,2981,384,391,3756,24
10000,2608,392,384,3384,24
10000,2794,388,464,3646,24
10000,3713,386,391,4490,24
10000,2651,478,394,3523,24
10000,3073,385,396,3854,24
10000,2611,455,500,3566,24
10000,3069,576,566,4211,24
10000,3024,486,420,3930,24
100000,36833,3655,3996,44484,31
100000,36227,3603,3721,43551,31
100000,35247,3694,3682,42623,31
100000,37056,3814,4899,45769,27
100000,37849,4020,4357,46226,27
100000,37150,3695,3940,44785,27
100000,35461,3681,3742,42884,27
100000,35480,4033,4797,44310,27
100000,35202,3850,4955,44007,27
100000,36852,4332,3886,45070,29
1000000,484521,34853,34721,554095,20
1000000,482747,32843,33217,548807,24
1000000,446167,32554,33727,512448,28
1000000,468862,33408,33379,535649,22
1000000,444876,35077,33550,513503,26
1000000,442683,32951,35641,511275,23
1000000,452253,32592,33855,518700,24
1000000,458081,35044,41319,534444,20
1000000,479571,36667,43121,559359,21
1000000,468761,35629,40327,544717,30
1000,278,53,53,384,18
1000,476,38,39,553,18
1000,198,38,39,275,18
1000,198,38,39,275,18
1000,199,38,39,276,18
1500,308,58,59,425,18
1500,316,58,59,433,18
1500,519,68,60,647,18
1500,330,58,59,447,18
1500,310,58,60,428,18
2000,458,130,83,671,19
2000,439,76,79,594,19
2000,431,76,81,588,19
2000,672,76,80,828,19
2000,432,76,80,588,19
2500,557,96,100,753,21
2500,749,113,99,961,21
2500,910,170,167,1247,21
2500,775,131,134,1040,21
2500,557,96,98,751,21
3000,731,116,214,1061,21
3000,687,115,269,1071,21
3000,687,116,119,922,21
3000,688,117,121,926,21
3000,929,127,204,1260,21
3500,816,135,138,1089,21
3500,1241,201,216,1658,21
3500,1096,135,138,1369,21
3500,802,140,158,1100,21
3500,806,134,136,1076,21
4000,1157,153,157,1467,22
4000,969,153,160,1282,22
4000,1072,162,154,1388,22
4000,936,153,157,1246,22
4000,940,153,156,1249,22
4500,1071,172,173,1416,22
4500,1064,185,303,1552,22
4500,1162,172,173,1507,22
4500,1081,178,174,1433,22
4500,1067,172,177,1416,22
5000,1668,193,193,2054,22
5000,2095,280,283,2658,22
5000,1567,273,279,2119,22
5000,1201,192,223,1616,22
5000,1232,192,309,1733,22
5500,1342,217,212,1771,25
5500,1332,211,276,1819,25
5500,1566,210,212,1988,25
5500,1337,216,213,1766,25
5500,1331,211,213,1755,25
6000,1535,278,234,2047,25
6000,1467,232,231,1930,25
6000,1464,490,313,2267,25
6000,1886,328,299,2513,25
6000,1471,238,232,1941,25
6500,1608,250,331,2189,26
6500,1616,252,251,2119,26
6500,1613,254,281,2148,26
6500,1618,250,250,2118,26
6500,1611,255,250,2116,26
7000,1941,270,270,2481,26
7000,2142,384,269,2795,26
7000,1740,269,270,2279,26
7000,1871,270,270,2411,26
7000,1737,268,275,2280,26
7500,1893,289,289,2471,28
7500,2551,287,294,3132,28
7500,1892,389,363,2644,28
7500,1939,290,293,2522,21
7500,1987,288,302,2577,21
8000,2235,435,722,3392,21
8000,2049,306,323,2678,21
8000,2061,306,314,2681,21
8000,2642,336,324,3302,21
8000,2010,307,314,2631,21
8500,2371,477,480,3328,19
8500,2599,330,357,3286,19
8500,2153,335,360,2848,19
8500,2395,329,336,3060,19
8500,2194,350,516,3060,19
9000,2356,350,352,3058,20
9000,2896,452,357,3705,20
9000,2810,343,359,3512,20
9000,2315,346,417,3078,20
9000,2332,345,354,3031,20
9500,2668,377,374,3419,18
9500,2464,525,492,3481,18
9500,2682,363,373,3418,18
9500,2615,366,378,3359,18
9500,2446,434,635,3515,18
10000,2614,384,478,3476,18
10000,2572,383,393,3348,18
10000,3026,382,402,3810,18
10000,2582,383,395,3360,18
10000,2812,386,397,3595,18
10500,2753,406,409,3568,18
10500,3998,406,418,4822,18
10500,2702,406,431,3539,18
10500,2702,410,413,3525,18
10500,3135,422,417,3974,18
