-59307.7,-9088.06
-59302,-9125.33
-59296.3,-9162.59
-59290.5,-9199.84
-59284.7,-9237.1
-59278.9,-9274.34
-59273.1,-9311.58
-59267.2,-9348.83
-59261.3,-9386.06
-59255.4,-9423.3
-59249.5,-9460.53
-59243.5,-9497.75
-59237.5,-9534.98
-59231.5,-9572.19
-59225.5,-9609.4
-59219.4,-9646.62
-59213.4,-9683.82
-59207.3,-9721.02
-59201.2,-9758.23
-59195,-9795.42
-59188.8,-9832.61
-59182.7,-9869.8
-59176.4,-9906.98
-59170.2,-9944.17
-59163.9,-9981.34
-59157.7,-10018.5
-59151.4,-10055.7
-59145,-10092.8
-59138.7,-10130
-59132.3,-10167.2
-59125.9,-10204.3
-59119.5,-10241.5
-59113,-10278.6
-59106.6,-10315.7
-59100.1,-10352.9
-59093.6,-10390
-59087,-10427.1
-59080.4,-10464.3
-59073.9,-10501.4
-59067.2,-10538.5
-59060.6,-10575.6
-59054,-10612.7
-59047.3,-10649.8
-59040.6,-10686.9
-59033.9,-10724
-59027.1,-10761.1
-59020.3,-10798.2
-59013.5,-10835.3
-59006.7,-10872.3
-58999.9,-10909.4
-58993,-10946.5
-58986.1,-10983.6
-58979.2,-11020.6
-58972.3,-11057.7
-58965.3,-11094.7
-58958.3,-11131.8
-58951.3,-11168.8
-58944.3,-11205.8
-58937.2,-11242.9
-58930.2,-11279.9
-58923.1,-11316.9
-58915.9,-11353.9
-58908.8,-11391
-58901.6,-11428
-58894.4,-11465
-58887.2,-11502
-58880,-11539
-58872.7,-11576
-58865.4,-11613
-58858.1,-11649.9
-58850.8,-11686.9
-58843.4,-11723.9
-58836.1,-11760.9
-58828.7,-11797.8
-58821.2,-11834.8
-58813.8,-11871.8
-58806.3,-11908.7
-58798.8,-11945.7
-58791.3,-11982.6
-58783.8,-12019.5
-58776.2,-12056.5
-58768.6,-12093.4
-58761,-12130.3
-58753.4,-12167.2
-58745.7,-12204.1
-58738,-12241.1
-58730.3,-12278
-58722.6,-12314.9
-58714.9,-12351.8
-58707.1,-12388.6
-58699.3,-12425.5
-58691.5,-12462.4
-58683.6,-12499.3
-58675.8,-12536.2
-58667.9,-12573
-58660,-12609.9
-58652,-12646.7
-58644.1,-12683.6
-58636.1,-12720.4
-58628.1,-12757.3
-58620.1,-12794.1
