10,7,5
10,5,5
10,5,5
10,7,5
10,5,5
10,5,5
10,6,5
10,4,5
10,5,5
10,4,5
100,48,14
100,55,14
100,49,14
100,81,14
100,48,14
100,76,14
100,48,14
100,49,14
100,72,14
100,49,14
1000,740,24
1000,742,24
1000,882,24
1000,719,24
1000,715,24
1000,727,24
1000,790,24
1000,813,24
1000,767,24
1000,764,24
10000,7603,24
10000,9192,24
10000,7629,24
10000,8288,24
10000,10466,24
10000,7487,24
10000,10066,24
10000,7893,24
10000,8558,24
10000,5586,17
100000,95767,29
100000,89636,29
100000,86758,29
100000,92624,29
100000,97014,29
100000,87507,29
100000,101933,32
100000,98102,32
100000,103494,32
100000,98714,32
1000000,736126,22
1000000,749330,24
1000000,704991,23
1000000,777120,25
1000000,720159,24
1000000,559030,18
1000000,826935,27
1000000,478928,16
1000000,693955,23
1000000,979659,31
10,5,5
10,6,5
10,5,5
10,5,5
10,5,5
10,5,5
10,5,5
10,4,5
10,5,5
10,5,5
100,45,13
100,45,13
100,44,13
100,52,12
100,43,12
100,43,12
100,47,12
100,42,12
100,42,12
100,42,12
1000,602,20
1000,636,20
1000,709,20
1000,618,20
1000,642,20
1000,603,20
1000,623,20
1000,600,20
1000,601,20
1000,604,20
10000,8212,26
10000,8943,26
10000,8179,26
10000,8051,26
10000,8931,26
10000,8186,26
10000,8557,26
10000,8589,26
10000,8243,26
10000,7690,26
100000,76524,25
100000,76730,25
100000,74309,25
100000,111088,34
100000,102270,34
100000,107943,34
100000,101466,34
100000,101212,34
100000,85935,26
100000,85026,26
1000000,530517,17
1000000,603056,20
1000000,816315,26
1000000,870689,28
1000000,580781,20
1000000,729449,24
1000000,760669,24
1000000,751544,25
1000000,857227,26
1000000,823945,27
